"_time","oracle_error_code","oracle_error_desc"
"2019-06-25T02:58:04.667-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T02:57:50.857-0400","ORA-12528","TNS:listener: all appropriate instances are blocking new connections"
"2019-06-25T02:57:43.518-0400","ORA-12528","TNS:listener: all appropriate instances are blocking new connections"
"2019-06-25T02:57:36.230-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-25T02:57:29.225-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-25T02:57:20.224-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-25T02:57:13.219-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-25T02:57:06.215-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-25T02:56:59.211-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-25T02:56:53.376-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-25T02:56:46.372-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-25T02:56:39.367-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-25T02:56:32.363-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-24T02:56:00.540-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-24T02:55:53.251-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-24T02:55:48.008-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-24T02:55:46.011-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-24T02:55:38.707-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-24T02:55:31.418-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-24T02:55:24.113-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-24T02:55:16.824-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-24T02:55:11.565-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-24T02:55:10.915-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-24T02:55:03.610-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-24T02:54:56.322-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-24T02:54:49.017-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-24T02:54:41.728-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-24T02:54:30.982-0400","ORA-12528","TNS:listener: all appropriate instances are blocking new connections"
"2019-06-24T02:54:23.693-0400","ORA-12528","TNS:listener: all appropriate instances are blocking new connections"
"2019-06-24T02:54:16.404-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-24T02:54:09.229-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-24T02:54:00.696-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-24T02:53:53.692-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-24T02:53:46.687-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-24T02:53:39.683-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-25T03:25:50.624-0400","ORA-00942","table or view does not exist"
"2019-06-25T03:25:50.608-0400","ORA-00942","table or view does not exist"
"2019-06-25T03:26:32.055-0400","ORA-00942","table or view does not exist"
"2019-06-25T03:26:32.024-0400","ORA-00942","table or view does not exist"
"2019-06-13T02:44:35.253-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-13T02:44:28.245-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-13T02:44:23.204-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-13T02:44:21.269-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-13T02:44:14.246-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-13T02:44:07.239-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-13T02:44:00.216-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-13T02:43:53.208-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-13T02:43:48.168-0400","ORA-01033","ORACLE initialization or shutdown in progress"
