_time,oracle_error_code,oracle_error_desc,date,time
2019-06-22T03:08:38.480-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,03:08:38
2019-06-22T03:08:31.458-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,03:08:31
2019-06-22T03:08:24.452-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,03:08:24
2019-06-22T03:08:19.412-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,03:08:19
2019-06-22T03:08:17.664-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,03:08:17
2019-06-22T03:08:10.643-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,03:08:10
2019-06-22T03:08:03.637-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,03:08:03
2019-06-22T03:07:38.374-0400,ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-22,03:07:38
2019-06-22T03:07:31.368-0400,ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-22,03:07:31
2019-06-22T03:07:24.361-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-22,03:07:24
2019-06-22T03:07:17.355-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-22,03:07:17
2019-06-21T09:41:25.496-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-21,09:41:25
2019-06-21T09:41:18.496-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-21,09:41:18
2019-06-21T06:01:53.677-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-21,06:01:53
2019-06-21T06:01:46.672-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-21,06:01:46
2019-06-21T06:01:35.378-0400,ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-21,06:01:35
2019-06-21T06:01:28.373-0400,ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-21,06:01:28
2019-06-21T06:01:21.369-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-21,06:01:21
2019-06-21T06:01:14.365-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-21,06:01:14
2019-06-21T05:27:32.306-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-21,05:27:32
2019-06-21T05:27:24.994-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-21,05:27:24
2019-06-21T05:27:17.307-0400,ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-21,05:27:17
2019-06-21T05:27:09.995-0400,ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-21,05:27:09
2019-06-21T05:27:00.728-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-21,05:27:00
2019-06-21T05:26:53.416-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-21,05:26:53
